order_id,product_id,category,supplier,warehouse,quantity,unit_price,discount,order_date,promised_delivery_days,actual_delivery_days,status,contact_email,is_quantity_outlier,revenue,delivery_variance,is_late,on_time_flag,order_year,order_month,order_quarter,order_month_name,order_yearmonth
ORD-00001,P002,Electronics,SwiftVendors,Chicago IL,4,250.0,0.15,2023-08-17,5,14,Delivered,buyer1@client.com,0,850.0,9,1,0,2023,8,3,Aug,2023-08
ORD-00002,P009,Industrial,PrimeSources,Dallas TX,12,300.0,0.1,2023-01-31,4,5,Delivered,buyer2@client.com,0,3240.0,1,1,0,2023,1,1,Jan,2023-01
ORD-00003,P001,Electronics,NextGen Parts,New York NY,72,120.0,0.0,2023-08-14,10,17,Delivered,buyer3@client.com,0,8640.0,7,1,0,2023,8,3,Aug,2023-08
ORD-00004,P001,Electronics,PrimeSources,Los Angeles CA,98,120.0,0.0,2023-10-12,5,6,Cancelled,buyer4@client.com,0,11760.0,1,1,0,2023,10,4,Oct,2023-10
ORD-00005,P002,Electronics,SwiftVendors,Los Angeles CA,49,250.0,0.0,2024-09-10,7,17,Delivered,buyer5@client.com,0,12250.0,10,1,0,2024,9,3,Sep,2024-09
ORD-00006,P009,Industrial,Apex Supplies,Atlanta GA,16,300.0,0.05,2023-10-28,13,20,Cancelled,buyer6@client.com,0,4560.0,7,1,0,2023,10,4,Oct,2023-10
ORD-00007,P004,Apparel,Apex Supplies,Chicago IL,91,55.0,0.0,2023-10-24,4,5,Cancelled,buyer7@client.com,0,5005.0,1,1,0,2023,10,4,Oct,2023-10
ORD-00008,P005,Home & Garden,SwiftVendors,Chicago IL,59,80.0,0.15,2024-01-15,8,9,Delayed,buyer8@client.com,0,4012.0,1,1,0,2024,1,1,Jan,2024-01
ORD-00009,P002,Electronics,GlobalTrade Co.,Atlanta GA,78,250.0,0.15,2023-09-08,5,10,Pending,buyer9@client.com,0,16575.0,5,1,0,2023,9,3,Sep,2023-09
ORD-00010,P009,Industrial,SwiftVendors,Dallas TX,29,300.0,0.15,2023-08-23,3,13,Delivered,buyer10@client.com,0,7395.0,10,1,0,2023,8,3,Aug,2023-08
ORD-00011,P002,Electronics,SwiftVendors,Chicago IL,28,250.0,0.1,2024-11-02,10,14,Delayed,buyer11@client.com,0,6300.0,4,1,0,2024,11,4,Nov,2024-11
ORD-00012,P005,Home & Garden,NextGen Parts,Atlanta GA,18,80.0,0.0,2023-09-27,14,21,Pending,buyer12@client.com,0,1440.0,7,1,0,2023,9,3,Sep,2023-09
ORD-00013,P007,Food & Bev,GlobalTrade Co.,Atlanta GA,47,12.0,0.0,2024-05-20,4,14,Delivered,buyer13@client.com,0,564.0,10,1,0,2024,5,2,May,2024-05
