order_id,product_id,category,supplier,warehouse,quantity,unit_price,discount,order_date,promised_delivery_days,actual_delivery_days,status,contact_email
ORD-00001,P002,Electronics,SwiftVendors,Chicago IL,4,250.0,0.15,2023-08-17,5,14,Delivered,buyer1@client.com
ORD-00002,P009,Industrial,PrimeSources,Dallas TX,12,300.0,0.1,2023-01-31,4,5,Delivered,buyer2@client.com
ORD-00003,P001,Electronics,NextGen Parts,New York NY,72,120.0,0.0,2023-08-14,10,17,Delivered,buyer3@client.com
ORD-00004,P001,Electronics,PrimeSources,Los Angeles CA,98,120.0,0.0,2023-10-12,5,6,Cancelled,buyer4@client.com
ORD-00005,P002,Electronics,SwiftVendors,Los Angeles CA,49,250.0,0.0,2024-09-10,7,17,Delivered,buyer5@client.com
ORD-00006,P009,Industrial,Apex Supplies,Atlanta GA,16,300.0,0.05,2023-10-28,13,20,Cancelled,buyer6@client.com
ORD-00007,P004,Apparel,Apex Supplies,Chicago IL,91,55.0,0.0,2023-10-24,4,5,Cancelled,buyer7@client.com
ORD-00008,P005,Home & Garden,SwiftVendors,Chicago IL,59,80.0,0.15,2024-01-15,8,9,Delayed,buyer8@client.com
ORD-00009,P002,Electronics,GlobalTrade Co.,Atlanta GA,78,250.0,0.15,2023-09-08,5,10,Pending,buyer9@client.com
ORD-00010,P009,Industrial,SwiftVendors,Dallas TX,29,300.0,0.15,2023-08-23,3,13,Delivered,buyer10@client.com
ORD-00011,P002,Electronics,SwiftVendors,Chicago IL,28,250.0,0.1,2024-11-02,10,14,Delayed,buyer11@client.com
ORD-00012,P005,Home & Garden,NextGen Parts,Atlanta GA,18,80.0,0.0,2023-09-27,14,21,Pending,buyer12@client.com
ORD-00013,P007,Food & Bev,GlobalTrade Co.,Atlanta GA,47,12.0,0.0,2024-05-20,4,14,Delivered,buyer13@client.com
ORD-00014,P003,Apparel,PrimeSources,Atlanta GA,81,35.0,0.0,2023-03-07,9,13,In Transit,buyer14@client.com
ORD-00015,P009,Industrial,Apex Supplies,Dallas TX,33,300.0,0.1,2024-11-29,11,21,Delivered,buyer15@client.com
ORD-00016,P006,Home & Garden,PrimeSources,Chicago IL,15,150.0,0.0,2024-04-09,3,12,Delayed,buyer16@client.com
ORD-00017,P009,Industrial,NextGen Parts,Dallas TX,98,300.0,0.0,2024-10-02,7,15,In Transit,buyer17@client.com
ORD-00018,P003,Apparel,NextGen Parts,Atlanta GA,48,35.0,0.0,2023-01-01,12,15,Pending,
ORD-00019,P006,Home & Garden,Apex Supplies,Chicago IL,40,150.0,0.0,2024-08-03,4,3,Delayed,buyer19@client.com
ORD-00020,P002,Electronics,GlobalTrade Co.,Chicago IL,98,250.0,0.1,2024-11-06,10,16,Delivered,buyer20@client.com
ORD-00021,P010,Industrial,NextGen Parts,Chicago IL,55,500.0,0.0,2024-12-31,7,11,Delayed,buyer21@client.com
ORD-00022,P008,Food & Bev,Apex Supplies,Chicago IL,67,20.0,0.05,2023-08-19,4,7,Delivered,buyer22@client.com
ORD-00023,P004,Apparel,Apex Supplies,Dallas TX,76,55.0,0.0,2024-12-25,13,11,Delivered,buyer23@client.com
ORD-00024,P001,Electronics,NextGen Parts,Chicago IL,43,120.0,0.0,2023-10-13,13,18,Delivered,buyer24@client.com
ORD-00025,P010,Industrial,GlobalTrade Co.,New York NY,74,500.0,0.05,2024-02-21,6,5,Delivered,buyer25@client.com
ORD-00026,P006,Home & Garden,PrimeSources,Dallas TX,55,150.0,0.05,2024-11-20,13,21,Delivered,buyer26@client.com
ORD-00027,P006,Home & Garden,GlobalTrade Co.,Chicago IL,14,150.0,0.0,2024-07-03,10,10,Pending,buyer27@client.com
ORD-00028,P008,Food & Bev,PrimeSources,Atlanta GA,32,20.0,0.0,2023-04-11,3,11,In Transit,buyer28@client.com
